ProcessRoutingId,FinishedItemCode,FinishedPartCode,FinishedItemName,RawItemCode,RawPartCode,RawItemName,SequenceNo,StepName,ProcessShortCode,EstimatedDays,PreferredVendorCode,Notes
PR-0024,4110000700,A-10155,BINARY LINK - 90 TON,4001004800,11205,BINARY LINK - 90 TON (CASTING),3,Induction Hardening & Tempering,HT,2,"VEN0000003, VEN0000004",Through hardening to 45 HRC
PR-0025,4110000700,A-10155,BINARY LINK - 90 TON,4001004800,11205,BINARY LINK - 90 TON (CASTING),4,Cylindrical Grinding of Bosses,GRD,1,VEN0000002,Grind boss faces
PR-0026,4110000800,A-10170,TERNARY LINK - 90 TON,4001005400,11206,TERNARY LINK - 90 TON (CASTING),1,VMC Triangular Profile Machining,MCH,2,,Heavy 3-point milling
PR-0027,4110000800,A-10170,TERNARY LINK - 90 TON,4001005400,11206,TERNARY LINK - 90 TON (CASTING),2,Precision 3-Point Pivot Boring,BOR,2,VEN0000001,Exact triangle pitch boring
PR-0028,4110000800,A-10170,TERNARY LINK - 90 TON,4001005400,11206,TERNARY LINK - 90 TON (CASTING),3,Case Hardening / Nitriding,HT,2,"VEN0000004, VEN0000004",Wear resistance treatment
PR-0029,4110000800,A-10170,TERNARY LINK - 90 TON,4001005400,11206,TERNARY LINK - 90 TON (CASTING),4,Internal Bore Grinding & Polishing,POL,1,VEN0000006,Bore fine polish
PR-0030,4010100200,A-10260,SUN GEAR - 90 TON (MODULE-3 TEETH-159),4001006300,11208,SUN GEAR - 90 TON (MODULE-3 TEETH-159) (CASTING),1,CNC Lathe Turning & OD/ID Facing,TRN,2,VEN0000005,Turn OD & bore ID true to 0.01mm
PR-0031,4010100200,A-10260,SUN GEAR - 90 TON (MODULE-3 TEETH-159),4001006300,11208,SUN GEAR - 90 TON (MODULE-3 TEETH-159) (CASTING),2,"Gear Hobbing (M3, 159 Teeth)",MCH,3,VEN0000005,High precision gear tooth hobbing
PR-0032,4010100200,A-10260,SUN GEAR - 90 TON (MODULE-3 TEETH-159),4001006300,11208,SUN GEAR - 90 TON (MODULE-3 TEETH-159) (CASTING),3,Induction Hardening of Teeth,HT,1,VEN0000005,Hardening tooth flanks to 52 HRC
PR-0033,4010100200,A-10260,SUN GEAR - 90 TON (MODULE-3 TEETH-159),4001006300,11208,SUN GEAR - 90 TON (MODULE-3 TEETH-159) (CASTING),4,Gear Tooth Profile Grinding & Deburring,GRD,2,VEN0000005,Smooth tooth engagement grind
PR-0034,4110001100,A-10255,GEAR NUT RETAINER - 90 TON,4001006900,11210,GEAR NUT RETAINER - 90 TON (CASTING),1,CNC Turning & Step Facing,TRN,1,VEN0000005,Turn retainer diameter
PR-0035,4110001100,A-10255,GEAR NUT RETAINER - 90 TON,4001006900,11210,GEAR NUT RETAINER - 90 TON (CASTING),2,VMC PCD Bolt Hole Drilling,DRL,1,"VEN0000011, VEN0000002",Drill mounting holes
PR-0036,4110001100,A-10255,GEAR NUT RETAINER - 90 TON,4001006900,11210,GEAR NUT RETAINER - 90 TON (CASTING),3,Black Phosphating Anti-Corrosion,PLT,1,VEN0000006,Chemical blackening
PR-0037,4110001200,A-10263,DIE HEIGHT MOTOR MTG BRACKET - 90 TON,4001007500,11209,DIE HEIGHT MOTOR MTG BRACKET - 90 TON (CASTING),1,CNC Face & Slot Milling,MCH,1,VEN0000005,Motor base plate milling
PR-0038,4110001200,A-10263,DIE HEIGHT MOTOR MTG BRACKET - 90 TON,4001007500,11209,DIE HEIGHT MOTOR MTG BRACKET - 90 TON (CASTING),2,Drilling & Motor Mount Slotting,DRL,1,VEN0000005,Adjustable slot milling
PR-0039,4110001200,A-10263,DIE HEIGHT MOTOR MTG BRACKET - 90 TON,4001007500,11209,DIE HEIGHT MOTOR MTG BRACKET - 90 TON (CASTING),3,Powder Coating / Primer Finish,PLT,1,VEN0000006,Epoxy primer spray
PR-0040,4110002900,A-10020,BARREL PLATE - 280 (STOCK-150),4001009600,-,BARREL PLATE - 280 (STOCK-150) (CASTING),1,VMC Heavy Facing & Peripheral Milling,MCH,2,VEN0000002,Platen true facing
PR-0041,4110002900,A-10020,BARREL PLATE - 280 (STOCK-150),4001009600,-,BARREL PLATE - 280 (STOCK-150) (CASTING),2,Precision Barrel Bore Machining,BOR,2,VEN0000011,Dia 150mm barrel seat bore
PR-0042,4110002900,A-10020,BARREL PLATE - 280 (STOCK-150),4001009600,-,BARREL PLATE - 280 (STOCK-150) (CASTING),3,CNC Heating Zone & Sensor Drilling,DRL,1,VEN0000011,Heater cartridge bores
PR-0043,4110002900,A-10020,BARREL PLATE - 280 (STOCK-150),4001009600,-,BARREL PLATE - 280 (STOCK-150) (CASTING),4,Surface Grinding,GRD,1,VEN0000002,Finish grind contact face
PR-0044,4110003500,A-10026,BEARING HOUSING - 280,4001011200,-,BEARING HOUSING - 280 (CASTING),1,CNC Lathe Turning & Facing,TRN,2,VEN0000001,Rough & finish turning
PR-0045,4110003500,A-10026,BEARING HOUSING - 280,4001011200,-,BEARING HOUSING - 280 (CASTING),2,Precision Bearing Bore Machining (H7),BOR,2,VEN0000005,Dual taper roller bearing seats
PR-0046,4110003500,A-10026,BEARING HOUSING - 280,4001011200,-,BEARING HOUSING - 280 (CASTING),3,PCD Flange Drilling & Tapping,DRL,1,"VEN0000002, VEN0000011",Mounting bolt holes
PR-0047,4110003500,A-10026,BEARING HOUSING - 280,4001011200,-,BEARING HOUSING - 280 (CASTING),4,Internal Bore Grinding & Polishing,GRD,1,"VEN0000002, VEN0000007",Micro-finish bearing bore
PR-0048,4110002800,A-10081,INJECTION CYLINDER ROD NUT RETAINER - 280,4001012500,-,INJ CYL ROD NUT RETAINER - 280 (CASTING),1,CNC Turning & Bore Sizing,TRN,1,VEN0000011,Turn OD and bore inner thread relief
PR-0049,4110002800,A-10081,INJECTION CYLINDER ROD NUT RETAINER - 280,4001012500,-,INJ CYL ROD NUT RETAINER - 280 (CASTING),2,VMC Lock Pin Slot Milling,MCH,1,"VEN0000001, VEN0000005",Milling anti-rotation lock slot
PR-0050,4110002800,A-10081,INJECTION CYLINDER ROD NUT RETAINER - 280,4001012500,-,INJ CYL ROD NUT RETAINER - 280 (CASTING),3,Blackening / Phosphating,PLT,1,VEN0000006,Chemical blackening
PR-0051,4110002600,A-10013,INJECTION GUIDE ROD SUPPORT - 60,4001013300,-,INJECTION GUIDE ROD SUPPORT 60 - 280 (CASTING),1,VMC Base Milling & Outer Facing,MCH,1,VEN0000011,Face milling mounting pad
PR-0052,4110002600,A-10013,INJECTION GUIDE ROD SUPPORT - 60,4001013300,-,INJECTION GUIDE ROD SUPPORT 60 - 280 (CASTING),2,Precision Guide Rod Boring (Dia 60mm),BOR,2,,Guide rod slide bore
PR-0053,4110002600,A-10013,INJECTION GUIDE ROD SUPPORT - 60,4001013300,-,INJECTION GUIDE ROD SUPPORT 60 - 280 (CASTING),3,Drilling & Clamp Slitting,DRL,1,,Clamp bolt holes and slit
PR-0054,4110002600,A-10013,INJECTION GUIDE ROD SUPPORT - 60,4001013300,-,INJECTION GUIDE ROD SUPPORT 60 - 280 (CASTING),4,Internal Bore Honing & Anti-Rust,POL,1,VEN0000007,Fine honing
PR-0055,4110008700,A-10144,STATIONARY PLATE TOGGLE - 110 TON,4001000200,12201,STATIONARY PLATE TOGGLE - 110 TON (CASTING),1,VMC Heavy Face Milling & Edge Truing,MCH,2,VEN0000002,Rough & finish top/bottom platen face to 0.02mm flat
PR-0056,4110008700,A-10144,STATIONARY PLATE TOGGLE - 110 TON,4001000200,12201,STATIONARY PLATE TOGGLE - 110 TON (CASTING),2,Precision CNC Boring (Tie Bar Bores),BOR,3,VEN0000002,Bore 4x Tie bar holes to H7 tolerance
PR-0057,4110008700,A-10144,STATIONARY PLATE TOGGLE - 110 TON,4001000200,12201,STATIONARY PLATE TOGGLE - 110 TON (CASTING),3,CNC Drilling & Tapping (Mold Mounting PCD),DRL,1,VEN0000002,M16 mold clamp tapped holes as per drawing
PR-0058,4110008700,A-10144,STATIONARY PLATE TOGGLE - 110 TON,4001000200,12201,STATIONARY PLATE TOGGLE - 110 TON (CASTING),4,Stress Relieving & Heat Treatment,HT,2,VEN0000002,Normalize stress at 550°C
PR-0059,4110008700,A-10144,STATIONARY PLATE TOGGLE - 110 TON,4001000200,12201,STATIONARY PLATE TOGGLE - 110 TON (CASTING),5,Surface Grinding & Anti-Rust Coating,GRD,1,VEN0000002,Precision surface grind & rust preventive oil
PR-0060,4110008800,A-10149,MOVING PLATE TOGGLE - 110 TON,4001001300,12202,MOVING PLATE TOGGLE - 110 TON (CASTING),1,VMC Heavy Face Milling,MCH,2,VEN0000002,Platen front & toggle rear face machining
PR-0061,4110008800,A-10149,MOVING PLATE TOGGLE - 110 TON,4001001300,12202,MOVING PLATE TOGGLE - 110 TON (CASTING),2,CNC Line Boring (Tie Bar & Bush Seats),BOR,3,VEN0000011,Precision line bore for bronze bushings
PR-0062,4110008800,A-10149,MOVING PLATE TOGGLE - 110 TON,4001001300,12202,MOVING PLATE TOGGLE - 110 TON (CASTING),3,CNC PCD Drilling & Ejector Hole Boring,DRL,2,VEN0000002,Center hole & pattern drilling
PR-0063,4110008800,A-10149,MOVING PLATE TOGGLE - 110 TON,4001001300,12202,MOVING PLATE TOGGLE - 110 TON (CASTING),4,Phosphating & Anti-Rust Treatment,PLT,1,VEN0000007,Surface protection treatment
PR-0064,4110008900,A-10184,END PLATE - 110 TON,4001002400,12203,END PLATE - 110 TON (CASTING),1,VMC Facing & Outer Profile Milling,MCH,2,VEN0000002,Square face and profile sizing
PR-0065,4110008900,A-10184,END PLATE - 110 TON,4001002400,12203,END PLATE - 110 TON (CASTING),2,CNC Tie Bar Bore & Toggle Pivot Boring,BOR,2,,Toggle pin pivot bores to H7
PR-0066,4110008900,A-10184,END PLATE - 110 TON,4001002400,12203,END PLATE - 110 TON (CASTING),3,Die Height Gear Nut Thread Boring,TRN,2,VEN0000001,Buttress thread bore machining
PR-0067,4110008900,A-10184,END PLATE - 110 TON,4001002400,12203,END PLATE - 110 TON (CASTING),4,Surface Grinding & Deburring,GRD,1,VEN0000007,Final grinding
PR-0068,4110009000,A-10179,CROSS HEAD - 110 TON,4001003700,12204,CROSS HEAD - 110 TON (CASTING),1,4-Axis VMC Machining & Facing,MCH,2,VEN0000001,Machining all 4 faces
PR-0069,4110009000,A-10179,CROSS HEAD - 110 TON,4001003700,12204,CROSS HEAD - 110 TON (CASTING),2,Toggle Link Pin Bore Machining,BOR,1,VEN0000011,Twin link pin bores
PR-0070,4110009000,A-10179,CROSS HEAD - 110 TON,4001003700,12204,CROSS HEAD - 110 TON (CASTING),3,Clamping Cylinder Rod Fitment Boring,TRN,1,VEN0000002,Cylinder rod connection bore
PR-0071,4110009000,A-10179,CROSS HEAD - 110 TON,4001003700,12204,CROSS HEAD - 110 TON (CASTING),4,Induction Hardening of Pin Holes,HT,1,VEN0000004,HRC 48-52 on wear areas
PR-0072,4110009100,A-10174,CROSS HEAD LINK - 110 TON,4001004300,12207,CROSS HEAD LINK - 110 TON (CASTING),1,CNC Link Profile Milling,MCH,1,VEN0000005,Contour milling both sides
PR-0073,4110009100,A-10174,CROSS HEAD LINK - 110 TON,4001004300,12207,CROSS HEAD LINK - 110 TON (CASTING),2,Twin Pivot Pin Bore Reaming,BOR,1,VEN0000011,Finish ream pin bores
PR-0074,4110009100,A-10174,CROSS HEAD LINK - 110 TON,4001004300,12207,CROSS HEAD LINK - 110 TON (CASTING),3,Gas Nitriding Heat Treatment,HT,2,"VEN0000004, VEN0000004","Case depth 0.4mm, 55 HRC"
PR-0075,4110009100,A-10174,CROSS HEAD LINK - 110 TON,4001004300,12207,CROSS HEAD LINK - 110 TON (CASTING),4,Pin Bore Honing & Buffing,POL,1,,Mirror finish internal bore
PR-0076,4110009200,A-10154,BINARY LINK - 110 TON,4001004900,12205,BINARY LINK - 110 TON (CASTING),1,VMC Link Face & Edge Milling,MCH,1,,Precision width milling
PR-0077,4110009200,A-10154,BINARY LINK - 110 TON,4001004900,12205,BINARY LINK - 110 TON (CASTING),2,CNC Dual Pin Line Boring,BOR,1,"VEN0000001, VEN0000005",Precision center distance boring
PR-0078,4110009200,A-10154,BINARY LINK - 110 TON,4001004900,12205,BINARY LINK - 110 TON (CASTING),3,Induction Hardening & Tempering,HT,2,"VEN0000003, VEN0000004",Through hardening to 45 HRC
PR-0079,4110009200,A-10154,BINARY LINK - 110 TON,4001004900,12205,BINARY LINK - 110 TON (CASTING),4,Cylindrical Grinding of Bosses,GRD,1,VEN0000002,Grind boss faces
PR-0080,4110009300,A-10170,TERNARY LINK - 110 TON,4001005500,12206,TERNARY LINK - 110 TON (CASTING),1,VMC Triangular Profile Machining,MCH,2,,Heavy 3-point milling
PR-0081,4110009300,A-10170,TERNARY LINK - 110 TON,4001005500,12206,TERNARY LINK - 110 TON (CASTING),2,Precision 3-Point Pivot Boring,BOR,2,VEN0000001,Exact triangle pitch boring
PR-0082,4110009300,A-10170,TERNARY LINK - 110 TON,4001005500,12206,TERNARY LINK - 110 TON (CASTING),3,Case Hardening / Nitriding,HT,2,"VEN0000004, VEN0000004",Wear resistance treatment
PR-0083,4110009300,A-10170,TERNARY LINK - 110 TON,4001005500,12206,TERNARY LINK - 110 TON (CASTING),4,Internal Bore Grinding & Polishing,POL,1,VEN0000006,Bore fine polish
PR-0084,4010100300,A-10259,SUN GEAR - 110 TON (MODULE-3 TEETH-178),4001006400,12208,SUN GEAR - 110 TON (MODULE-3 TEETH-178) (CASTING),1,CNC Lathe Turning & OD/ID Facing,TRN,2,VEN0000005,Turn OD & bore ID true to 0.01mm
PR-0085,4010100300,A-10259,SUN GEAR - 110 TON (MODULE-3 TEETH-178),4001006400,12208,SUN GEAR - 110 TON (MODULE-3 TEETH-178) (CASTING),2,"Gear Hobbing (M3, 159 Teeth)",MCH,3,VEN0000005,High precision gear tooth hobbing
PR-0086,4010100300,A-10259,SUN GEAR - 110 TON (MODULE-3 TEETH-178),4001006400,12208,SUN GEAR - 110 TON (MODULE-3 TEETH-178) (CASTING),3,Induction Hardening of Teeth,HT,1,VEN0000005,Hardening tooth flanks to 52 HRC
PR-0087,4010100300,A-10259,SUN GEAR - 110 TON (MODULE-3 TEETH-178),4001006400,12208,SUN GEAR - 110 TON (MODULE-3 TEETH-178) (CASTING),4,Gear Tooth Profile Grinding & Deburring,GRD,2,VEN0000005,Smooth tooth engagement grind
PR-0088,4110009600,A-10254,GEAR NUT RETAINER - 110 TON,4001007000,12209,GEAR NUT RETAINER - 110 TON (CASTING),1,CNC Turning & Step Facing,TRN,1,VEN0000005,Turn retainer diameter
PR-0089,4110009600,A-10254,GEAR NUT RETAINER - 110 TON,4001007000,12209,GEAR NUT RETAINER - 110 TON (CASTING),2,VMC PCD Bolt Hole Drilling,DRL,1,"VEN0000011, VEN0000002",Drill mounting holes
PR-0090,4110009600,A-10254,GEAR NUT RETAINER - 110 TON,4001007000,12209,GEAR NUT RETAINER - 110 TON (CASTING),3,Black Phosphating Anti-Corrosion,PLT,1,VEN0000006,Chemical blackening
PR-0091,4110010700,A-10021,BARREL PLATE - 420 (STOCK-175),4001009800,-,BARREL PLATE - 420 (STOCK-175) (CASTING),1,Casting Procurement & Fettling,CAST-INSP,5,"VEN0000001, VEN0000003",Raw casting visual & dimension check
PR-0092,4110010700,A-10021,BARREL PLATE - 420 (STOCK-175),4001009800,-,BARREL PLATE - 420 (STOCK-175) (CASTING),2,VMC Rough Machining & Face Milling,VMC-ROUGH,3,VEN0000002,Machine both mounting faces
PR-0093,4110010700,A-10021,BARREL PLATE - 420 (STOCK-175),4001009800,-,BARREL PLATE - 420 (STOCK-175) (CASTING),3,CNC Boring & Cylinder Bore Machining,CNC-BORE,4,VEN0000002,Bore cylinder cavities to H7 tolerance
PR-0094,4110010700,A-10021,BARREL PLATE - 420 (STOCK-175),4001009800,-,BARREL PLATE - 420 (STOCK-175) (CASTING),4,"Drilling, Tapping & Tie Bar Holes",VMC-DRILL,2,VEN0000002,Drill and tap all mounting & tie bar holes
PR-0095,4110010700,A-10021,BARREL PLATE - 420 (STOCK-175),4001009800,-,BARREL PLATE - 420 (STOCK-175) (CASTING),5,Final Surface Grinding & De-burring,GRIND,2,VEN0000006,Grind parallel within 0.02 mm
PR-0096,4110010700,A-10021,BARREL PLATE - 420 (STOCK-175),4001009800,-,BARREL PLATE - 420 (STOCK-175) (CASTING),6,Final Quality Inspection & Painting,QC-PAINT,1,In-house,Coordinate Measuring & anti-rust coat
PR-0097,4110011700,A-10405,BARREL Φ40 - 420,4001014000,-,RAW ROUND BAR EN41B Ø100,1,Raw Alloy Round Bar Cutting & Deep Hole Drilling,G-CUT-BORE,7,VEN0000002,EN41B alloy steel bar trepanning & deep hole drilling
PR-0098,4110011700,A-10405,BARREL Φ40 - 420,4001014000,-,RAW ROUND BAR EN41B Ø100,2,CNC Turning & Outside Diameter Turning,CNC-TURN,4,VEN0000002,Turn outside diameter with flange details
PR-0099,4110011700,A-10405,BARREL Φ40 - 420,4001014000,-,RAW ROUND BAR EN41B Ø100,3,Internal Honing & Surface Finish,HONE,3,VEN0000006,Hone bore to mirror finish Ra <= 0.2 um
PR-0100,4110011700,A-10405,BARREL Φ40 - 420,4001014000,-,RAW ROUND BAR EN41B Ø100,4,Gas Nitriding / Bimetallic Lining Treatment,NITRIDE,5,VEN0000004,"Nitriding depth 0.5-0.6 mm, hardness 68-70 HRC"
PR-0101,4110011700,A-10405,BARREL Φ40 - 420,4001014000,-,RAW ROUND BAR EN41B Ø100,5,Final Bore Polishing & Quality Inspection,QC-POLISH,2,In-house,Air gauge inspection and bore runout test
PR-0102,4110012000,A-10406,BARREL Φ45 - 420,4001014100,-,RAW ROUND BAR EN41B Ø110,1,Raw Alloy Round Bar Cutting & Deep Hole Drilling,G-CUT-BORE,7,VEN0000002,EN41B alloy steel bar trepanning & deep hole drilling
PR-0103,4110012000,A-10406,BARREL Φ45 - 420,4001014100,-,RAW ROUND BAR EN41B Ø110,2,CNC Turning & Outside Diameter Turning,CNC-TURN,4,VEN0000002,Turn outside diameter with flange details
PR-0104,4110012000,A-10406,BARREL Φ45 - 420,4001014100,-,RAW ROUND BAR EN41B Ø110,3,Internal Honing & Surface Finish,HONE,3,VEN0000006,Hone bore to mirror finish Ra <= 0.2 um
PR-0105,4110012000,A-10406,BARREL Φ45 - 420,4001014100,-,RAW ROUND BAR EN41B Ø110,4,Gas Nitriding / Bimetallic Lining Treatment,NITRIDE,5,VEN0000004,"Nitriding depth 0.5-0.6 mm, hardness 68-70 HRC"
PR-0106,4110012000,A-10406,BARREL Φ45 - 420,4001014100,-,RAW ROUND BAR EN41B Ø110,5,Final Bore Polishing & Quality Inspection,QC-POLISH,2,In-house,Air gauge inspection and bore runout test
PR-0107,4110011800,A-10423,SCREW Φ40 - 420,4001014200,-,RAW ROUND BAR EN41B Ø70,1,Raw Alloy Round Bar Cutting & Deep Hole Drilling,G-CUT-BORE,7,VEN0000002,EN41B alloy steel bar trepanning & deep hole drilling
PR-0108,4110011800,A-10423,SCREW Φ40 - 420,4001014200,-,RAW ROUND BAR EN41B Ø70,2,CNC Turning & Outside Diameter Turning,CNC-TURN,4,VEN0000002,Turn outside diameter with flange details
PR-0109,4110011800,A-10423,SCREW Φ40 - 420,4001014200,-,RAW ROUND BAR EN41B Ø70,3,Internal Honing & Surface Finish,HONE,3,VEN0000006,Hone bore to mirror finish Ra <= 0.2 um
PR-0110,4110011800,A-10423,SCREW Φ40 - 420,4001014200,-,RAW ROUND BAR EN41B Ø70,4,Gas Nitriding / Bimetallic Lining Treatment,NITRIDE,5,VEN0000004,"Nitriding depth 0.5-0.6 mm, hardness 68-70 HRC"
PR-0111,4110011800,A-10423,SCREW Φ40 - 420,4001014200,-,RAW ROUND BAR EN41B Ø70,5,Final Bore Polishing & Quality Inspection,QC-POLISH,2,In-house,Air gauge inspection and bore runout test
PR-0112,4110012100,A-10424,SCREW Φ45 - 420,4001014300,-,RAW ROUND BAR EN41B Ø75,1,Raw Alloy Round Bar Cutting & Deep Hole Drilling,G-CUT-BORE,7,VEN0000002,EN41B alloy steel bar trepanning & deep hole drilling
PR-0113,4110012100,A-10424,SCREW Φ45 - 420,4001014300,-,RAW ROUND BAR EN41B Ø75,2,CNC Turning & Outside Diameter Turning,CNC-TURN,4,VEN0000002,Turn outside diameter with flange details
PR-0114,4110012100,A-10424,SCREW Φ45 - 420,4001014300,-,RAW ROUND BAR EN41B Ø75,3,Internal Honing & Surface Finish,HONE,3,VEN0000006,Hone bore to mirror finish Ra <= 0.2 um
PR-0115,4110012100,A-10424,SCREW Φ45 - 420,4001014300,-,RAW ROUND BAR EN41B Ø75,4,Gas Nitriding / Bimetallic Lining Treatment,NITRIDE,5,VEN0000004,"Nitriding depth 0.5-0.6 mm, hardness 68-70 HRC"
PR-0116,4110012100,A-10424,SCREW Φ45 - 420,4001014300,-,RAW ROUND BAR EN41B Ø75,5,Final Bore Polishing & Quality Inspection,QC-POLISH,2,In-house,Air gauge inspection and bore runout test
